shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
160,50.08782019705702,118.01688249478289,0
160,50.08818065151557,118.01609703194119,1
160,50.08851920223252,118.01560190560451,2
160,50.08927546745427,118.01447887532987,3
160,50.08975144583994,118.01397205113237,4
160,50.09069867588879,118.01298778385029,5
160,50.0912311900331,118.01271600855596,6
160,50.091650847854616,118.01289527719263,7
160,50.09193004813206,118.01334082882431,8
160,50.09183285275872,118.01423128448323,9
160,50.0919180971687,118.0202149421755,10
160,50.09187679659066,118.02249624651205,11
160,50.091600081632336,118.02317064979684,12
160,50.09187679659066,118.02415627939082,13
160,50.09188780625967,118.02659155720785,14
160,50.09008862581168,118.02642761279641,15
160,50.085232116764345,118.02633435780375,16
160,50.08445821258111,118.02635461505146,17
160,50.0844433238798,118.02810401700064,18
160,50.08442337794125,118.02839543885275,19
160,50.084883067385356,118.02970189920632,20
160,50.08482117837977,118.03264768842762,21
160,50.084792320280414,118.03905617626967,22
160,50.08471459301449,118.03934456258925,23
160,50.08477818091375,118.03955565518895,24
160,50.08476286326184,118.04258007349792,25
160,50.086863434418696,118.04269190683816,26
160,50.08830031764131,118.04259181152753,27
160,50.09012104711074,118.0451158080931,28
160,50.09078585781304,118.04594971988345,29
160,50.090910739752594,118.04622516781687,30
160,50.0909571315267,118.04649174724318,31
160,50.09100499005753,118.04664017603656,32
160,50.09107921204219,118.04668608402545,33
160,50.09117817450959,118.04666404819079,34
160,50.09147506068561,118.04687338862021,35
160,50.092063000073395,118.04771047445857,36
160,50.09275919002541,118.04801190674505,37
160,50.09563262178473,118.04820783441953,38
160,50.09803216214288,118.04822855775159,39
160,50.09919533097974,118.04831663191102,40
160,50.10104747585502,118.04830204523495,41
160,50.10108957406879,118.04670021203795,42
160,50.10123579322832,118.0338051188838,43
160,50.10118147972898,118.03234669355908,44
160,50.09876814233109,118.0321417072371,45
160,50.092888779148154,118.03215712369708,46
160,50.092704998106555,118.03246929802164,47
160,50.09262149806634,118.03487309902121,48
160,50.092621394198936,118.04049875502515,49
160,50.09261692790275,118.0415120126147,50
160,50.09257776466487,118.04234869723378,51
160,50.09241043914734,118.04282567756337,52
160,50.09231591934977,118.04377053196862,53
160,50.092049704895864,118.04447763471272,54
160,50.091158919598314,118.04617694791263,55
160,50.09101266968344,118.0461355012492,56
160,50.0896167291784,118.04418046537361,57
160,50.08836208589248,118.04251809387547,58
160,50.0864954257236,118.042409915721,59
160,50.084814707602376,118.04250478439617,60
160,50.08489690994266,118.04079147208498,61
160,50.08483709491396,118.04035445419571,62
160,50.08488649556131,118.03354939620841,63
160,50.08487727584525,118.031939533327,64
160,50.08489127423027,118.02971007520789,65
160,50.084918396115306,118.02859282743844,66
160,50.08488304778384,118.02849917514106,67
160,50.08480763792292,118.02842021340015,68
160,50.08460615161883,118.02840735916327,69
160,50.084547237334796,118.02839083228727,70
160,50.08448714469048,118.028267798877,71
160,50.08445994548893,118.02814675887228,72
160,50.08445911440862,118.02802371409028,73
160,50.08446929514155,118.02653131040528,74
160,50.08748934526163,118.02672105841118,75
160,50.09054410604851,118.02675732424171,76
160,50.09197830973954,118.02677348527878,77
160,50.09203477378385,118.02324496236912,78
160,50.09203318978742,118.01505900349369,79
160,50.09203872912209,118.0133649599253,80
160,50.09170243655288,118.01270866327773,81
160,50.091227877925895,118.01251005331346,82
160,50.09058716848926,118.01290642162182,83
160,50.089334400549106,118.01421842119913,84
160,50.088410011327426,118.0155167786534,85
160,50.087169502375126,118.01738082614997,86
170,50.08782019705702,118.01688249478289,0
170,50.088403973600606,118.01573685624503,1
170,50.08928054013178,118.0144808136686,2
170,50.089912035116356,118.01385646501953,3
170,50.09070374841566,118.01301910330189,4
170,50.09118883429863,118.01265695887798,5
170,50.09162268495092,118.01287954301561,6
170,50.0918668958307,118.01340299881942,7
170,50.09183285275872,118.01423128448323,8
170,50.09189129384068,118.0225165480464,9
170,50.091600081632336,118.02317064979684,10
170,50.09192274271126,118.02354845761744,11
170,50.091842631498125,118.02658205752424,12
170,50.09008862581168,118.02642761279641,13
170,50.085232116764345,118.02633435780375,14
170,50.08444508634133,118.02641689078366,15
170,50.084422546860296,118.02838766760338,16
170,50.08488753440238,118.02970877999964,17
170,50.08482117837977,118.03264768842762,18
170,50.084826554389664,118.03734880860586,19
170,50.08471459301449,118.03934456258925,20
170,50.08476793641699,118.04260588399086,21
170,50.086863434418696,118.04269190683816,22
170,50.087983357355114,118.042642610382,23
170,50.08834270759844,118.04269402732956,24
170,50.0899390486893,118.04476776135665,25
170,50.09012104711074,118.0451158080931,26
170,50.090780327133274,118.04595165822215,27
170,50.09091463412715,118.04622526983604,28
170,50.090951156139354,118.04648969985215,29
170,50.091081928277326,118.04666231389041,30
170,50.09118324698572,118.04665680493174,31
170,50.09125746869431,118.04653744416059,32
170,50.091333421753724,118.04621118998008,33
170,50.09159902995302,118.0459551030272,34
170,50.091834488696456,118.04540540855898,35
170,50.092092498735425,118.0448866776622,36
170,50.09230283197848,118.04440218883293,37
170,50.092587948900714,118.04332829930792,38
170,50.09276930107865,118.04172329345747,39
170,50.092880308835475,118.04090294094343,40
170,50.09277250892429,118.04040964580165,41
170,50.0928412808715,118.03512882169687,42
170,50.092899939654465,118.03377767665927,43
170,50.09282746657768,118.03231303900131,44
170,50.093425840070196,118.03247178295968,45
170,50.09429456953641,118.03239227461945,46
170,50.09758360761538,118.0326738354438,47
170,50.09944942493528,118.03248776323633,48
170,50.10113617673765,118.03251347171015,49
170,50.10105966554934,118.03429729801182,50
