stop_id,stop_name,stop_lat,stop_lon,id_stop,highway,parent_station,location_type
1,Ресторан Аргунь,50.09054410604851,118.02675732424171,12,bus_stop,100,0
10,Южная-4,50.09679264225232,117.98232824150067,6,bus_stop,94,0
11,Южная-3,50.09501454204302,117.99307672938642,7,bus_stop,95,0
12,Южная-2,50.0929306063015,117.9976255006959,8,bus_stop,96,0
13,Южная-1,50.09013194076624,118.00451082765527,9,bus_stop,97,0
14,Больница,50.09203318978742,118.01505900349369,10,bus_stop,98,0
15,проспект Шахтёров,50.09241043914734,118.04282567756337,14,bus_stop,102,0
16,Зоомагазин,50.0896167291784,118.04418046537361,15,bus_stop,103,0
17,Школа №17,50.0864954257236,118.042409915721,16,bus_stop,104,0
18,Автокооператив №14,50.083179441394485,118.04235940259998,17,bus_stop,105,0
19,Дом 476,50.08488649556131,118.03354939620841,32,bus_stop,120,0
2,ДК Даурия,50.09758360761538,118.0326738354438,29,bus_stop,117,0
20,Дом 36Ц,50.09563262178473,118.04820783441953,25,bus_stop,113,0
21,Дом 36Ц,50.09532353097972,118.04801614360126,25,bus_stop,113,0
22,Радуга,50.09919533097974,118.04831663191102,26,bus_stop,114,0
23,Радуга,50.098042132281485,118.04814566442444,26,bus_stop,114,0
24,Пожарное депо,50.10108957406879,118.04670021203795,27,bus_stop,115,0
25,Пожарное депо,50.10085362857475,118.04758613446839,27,bus_stop,115,0
26,ПУ11,50.10123579322832,118.0338051188838,34,bus_stop,122,0
27,ПУ11,50.10105966554934,118.03429729801182,34,bus_stop,122,0
28,Дом 313,50.09008862581168,118.02642761279641,12,bus_stop,100,0
29,АЗС,50.08782019705702,118.01688249478289,11,bus_stop,99,0
3,улица Краснокаменск 215,50.102817693996776,118.03266865461087,28,bus_stop,116,0
30,АЗС,50.087169502375126,118.01738082614997,11,bus_stop,99,0
31,Больница,50.09183285275872,118.01423128448323,10,bus_stop,98,0
32,Поликлиника,50.091600081632336,118.02317064979684,13,bus_stop,101,0
33,Поликлиника,50.09203477378385,118.02324496236912,13,bus_stop,101,0
34,20,50.08035280438133,118.02944350516363,20,bus_stop,108,0
35,20,50.08019571648648,118.03034837001445,20,bus_stop,108,0
36,19,50.08026303993302,118.03351321132843,19,bus_stop,107,0
37,19,50.08013961354216,118.03403777066224,19,bus_stop,107,0
38,18,50.08022096279,118.03758728882102,18,bus_stop,106,0
39,18,50.08007790022755,118.03815119010486,18,bus_stop,106,0
4,Магазин Стройматериалы,50.10805120852913,118.03001088731959,30,bus_stop,118,0
40,Автокооператив №14,50.083368231153116,118.04267988568671,17,bus_stop,105,0
41,31,50.08489690994266,118.04079147208498,31,bus_stop,119,0
42,31,50.08471459301449,118.03934456258925,31,bus_stop,119,0
43,Дом 476,50.08482117837977,118.03264768842762,32,bus_stop,120,0
44,проспект Шахтёров,50.092880308835475,118.04090294094343,14,bus_stop,102,0
45,Зоомагазин,50.09012104711074,118.0451158080931,15,bus_stop,103,0
46,Школа №17,50.086863434418696,118.04269190683816,16,bus_stop,104,0
47,ДК Даурия,50.09876814233109,118.0321417072371,29,bus_stop,117,0
48,улица Краснокаменск 215,50.102441318400565,118.03225426892752,28,bus_stop,116,0
49,Магазин Стройматериалы,50.10776832520928,118.03041393993148,30,bus_stop,118,0
5,Дачи-1,50.10824724653313,118.01283642616812,5,bus_stop,93,0
50,Дачи-1,50.10794494739254,118.01371874630118,5,bus_stop,93,0
51,Дачи-2,50.10801783889735,118.00585909894966,4,bus_stop,92,0
52,Дачи-4,50.10802064241456,117.99531982766793,2,bus_stop,90,0
53,Дачи-3,50.10803746351431,118.00107249502868,3,bus_stop,91,0
54,Южная-5,50.105903940216855,117.9841816844801,35,bus_stop,123,0
55,1,50.10246655298723,117.97825853533587,1,bus_stop,89,0
56,1,50.10232355682033,117.97753289492412,1,bus_stop,89,0
57,Южная-4,50.09694126326065,117.98340795946277,6,bus_stop,94,0
58,Южная-3,50.09545923881026,117.99177249517308,7,bus_stop,95,0
59,Южная-2,50.09331744320442,117.99779618485638,8,bus_stop,96,0
6,Дачи-2,50.10822066515589,118.00559880256978,4,bus_stop,92,0
60,Южная-1,50.09040080163,118.00428651378027,9,bus_stop,97,0
61,33,50.088882815768685,118.0664118242141,33,bus_stop,121,0
62,33,50.088383587741134,118.06888599573854,33,bus_stop,121,0
63,24,50.07478374752575,118.01418659446587,24,bus_stop,112,0
64,24,50.07524101358606,118.0144950961513,24,bus_stop,112,0
65,23,50.073072496667436,118.01719081325976,23,bus_stop,111,0
66,23,50.07270949621003,118.01751400550165,23,bus_stop,111,0
67,22,50.07162990718255,118.02127478795269,22,bus_stop,110,0
68,22,50.07173362421431,118.02186975548888,22,bus_stop,110,0
69,21,50.07564877809563,118.02614103477656,21,bus_stop,109,0
7,Дачи-3,50.10827382789563,118.00088424460667,3,bus_stop,91,0
70,21,50.07602354126308,118.02646422701842,21,bus_stop,109,0
71,36,50.100932826737846,118.04155754727891,36,bus_stop,124,0
72,Сквер Покровского,50.093425840070196,118.03247178295968,37,bus_stop,125,0
73,Сквер Покровского,50.092899939654465,118.03377767665927,39,bus_stop,127,0
74,Храм,50.0927148487557,118.03100406918173,38,bus_stop,126,0
75,41,50.09259460939903,118.03488799391718,41,bus_stop,129,0
76,40,50.078661277301,118.04131603141882,40,bus_stop,128,0
77,Диспетчерская,50.08445443958159,118.0193566663073,43,bus_stop,131,0
78,Дом 322,50.08457224508461,118.02116639600895,42,bus_stop,130,0
79,Дом 321,50.084524146400135,118.02553205725462,45,bus_stop,133,0
8,Дачи-4,50.10827382789563,117.99505062673138,2,bus_stop,90,0
80,44,50.08654509362289,118.08307751138189,44,bus_stop,132,0
81,47,50.092063000073395,118.04771047445857,47,bus_stop,135,0
82,46,50.09336472164629,118.04799905250825,46,bus_stop,134,0
83,49,50.09159902995302,118.0459551030272,49,bus_stop,137,0
84,48,50.148360269716406,118.06111377494267,48,bus_stop,136,0
85,55,50.09066933638679,118.04679439796134,55,bus_stop,143,0
86,Рынок,50.08748934526163,118.02672105841118,56,bus_stop,144,0
87,Магазин 1000 мелочей,50.085232116764345,118.02633435780375,57,bus_stop,145,0
88,60,50.11476426408856,118.03759989834623,60,bus_stop,148,0
9,Южная-5,50.10583492646679,117.98374604928566,35,bus_stop,123,0
89,parent_89,50.10239505490378,117.97789571512999,,bus_stop,,1
90,parent_90,50.108147235155094,117.99518522719966,,bus_stop,,1
91,parent_91,50.10815564570497,118.00097836981767,,bus_stop,,1
92,parent_92,50.10811925202662,118.00572895075972,,bus_stop,,1
93,parent_93,50.10809609696284,118.01327758623465,,bus_stop,,1
94,parent_94,50.096866952756486,117.98286810048171,,bus_stop,,1
95,parent_95,50.095236890426634,117.99242461227975,,bus_stop,,1
96,parent_96,50.09312402475296,117.99771084277614,,bus_stop,,1
97,parent_97,50.09026637119812,118.00439867071776,,bus_stop,,1
98,parent_98,50.09193302127307,118.01464514398846,,bus_stop,,1
99,parent_99,50.08749484971607,118.01713166046643,,bus_stop,,1
100,parent_100,50.09031636593009,118.02659246851906,,bus_stop,,1
101,parent_101,50.091817427708094,118.02320780608298,,bus_stop,,1
102,parent_102,50.09264537399141,118.0418643092534,,bus_stop,,1
103,parent_103,50.08986888814457,118.04464813673336,,bus_stop,,1
104,parent_104,50.08667943007114,118.04255091127958,,bus_stop,,1
105,parent_105,50.083273836273804,118.04251964414334,,bus_stop,,1
106,parent_106,50.08014943150877,118.03786923946294,,bus_stop,,1
107,parent_107,50.080201326737594,118.03377549099534,,bus_stop,,1
108,parent_108,50.0802742604339,118.02989593758903,,bus_stop,,1
109,parent_109,50.075836159679355,118.02630263089749,,bus_stop,,1
110,parent_110,50.07168176569843,118.02157227172079,,bus_stop,,1
111,parent_111,50.07289099643873,118.0173524093807,,bus_stop,,1
112,parent_112,50.075012380555904,118.01434084530858,,bus_stop,,1
113,parent_113,50.09547807638222,118.0481119890104,,bus_stop,,1
114,parent_114,50.09861873163061,118.04823114816773,,bus_stop,,1
115,parent_115,50.10097160132177,118.04714317325318,,bus_stop,,1
